noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.58,balancescale,instance,1,0.1,1
0.2,0.58,balancescale,instance,1,0.1,1
0.30000000000000004,0.61,balancescale,instance,1,0.1,1
0.4,0.644,balancescale,instance,1,0.1,1
0.5,0.702,balancescale,instance,1,0.1,1
0.6,0.668,balancescale,instance,1,0.1,1
0.7000000000000001,0.672,balancescale,instance,1,0.1,1
0.8,0.674,balancescale,instance,1,0.1,1
0.9,0.688,balancescale,instance,1,0.1,1
0.1,0.566,balancescale,instance,1,0.1,2
0.2,0.596,balancescale,instance,1,0.1,2
0.30000000000000004,0.63,balancescale,instance,1,0.1,2
0.4,0.616,balancescale,instance,1,0.1,2
0.5,0.658,balancescale,instance,1,0.1,2
0.6,0.64,balancescale,instance,1,0.1,2
0.7000000000000001,0.682,balancescale,instance,1,0.1,2
0.8,0.71,balancescale,instance,1,0.1,2
0.9,0.678,balancescale,instance,1,0.1,2
0.1,0.568,balancescale,instance,1,0.1,3
0.2,0.566,balancescale,instance,1,0.1,3
0.30000000000000004,0.59,balancescale,instance,1,0.1,3
0.4,0.602,balancescale,instance,1,0.1,3
0.5,0.634,balancescale,instance,1,0.1,3
0.6,0.666,balancescale,instance,1,0.1,3
0.7000000000000001,0.652,balancescale,instance,1,0.1,3
0.8,0.71,balancescale,instance,1,0.1,3
0.9,0.718,balancescale,instance,1,0.1,3
0.1,0.566,balancescale,pair,1,0.1,1
0.2,0.584,balancescale,pair,1,0.1,1
0.30000000000000004,0.598,balancescale,pair,1,0.1,1
0.4,0.622,balancescale,pair,1,0.1,1
0.5,0.65,balancescale,pair,1,0.1,1
0.6,0.668,balancescale,pair,1,0.1,1
0.7000000000000001,0.64,balancescale,pair,1,0.1,1
0.8,0.666,balancescale,pair,1,0.1,1
0.9,0.704,balancescale,pair,1,0.1,1
0.1,0.548,balancescale,pair,1,0.1,2
0.2,0.566,balancescale,pair,1,0.1,2
0.30000000000000004,0.566,balancescale,pair,1,0.1,2
0.4,0.584,balancescale,pair,1,0.1,2
0.5,0.644,balancescale,pair,1,0.1,2
0.6,0.662,balancescale,pair,1,0.1,2
0.7000000000000001,0.698,balancescale,pair,1,0.1,2
0.8,0.672,balancescale,pair,1,0.1,2
0.9,0.704,balancescale,pair,1,0.1,2
0.1,0.522,balancescale,pair,1,0.1,3
0.2,0.57,balancescale,pair,1,0.1,3
0.30000000000000004,0.578,balancescale,pair,1,0.1,3
0.4,0.614,balancescale,pair,1,0.1,3
0.5,0.604,balancescale,pair,1,0.1,3
0.6,0.658,balancescale,pair,1,0.1,3
0.7000000000000001,0.652,balancescale,pair,1,0.1,3
0.8,0.696,balancescale,pair,1,0.1,3
0.9,0.74,balancescale,pair,1,0.1,3
0.1,0.552,balancescale,sym,1,0.1,1
0.2,0.616,balancescale,sym,1,0.1,1
0.30000000000000004,0.644,balancescale,sym,1,0.1,1
0.4,0.594,balancescale,sym,1,0.1,1
0.5,0.634,balancescale,sym,1,0.1,1
0.6,0.652,balancescale,sym,1,0.1,1
0.7000000000000001,0.654,balancescale,sym,1,0.1,1
0.8,0.676,balancescale,sym,1,0.1,1
0.9,0.704,balancescale,sym,1,0.1,1
0.1,0.58,balancescale,sym,1,0.1,2
0.2,0.606,balancescale,sym,1,0.1,2
0.30000000000000004,0.594,balancescale,sym,1,0.1,2
0.4,0.604,balancescale,sym,1,0.1,2
0.5,0.658,balancescale,sym,1,0.1,2
0.6,0.65,balancescale,sym,1,0.1,2
0.7000000000000001,0.698,balancescale,sym,1,0.1,2
0.8,0.69,balancescale,sym,1,0.1,2
0.9,0.692,balancescale,sym,1,0.1,2
0.1,0.5,balancescale,sym,1,0.1,3
0.2,0.59,balancescale,sym,1,0.1,3
0.30000000000000004,0.606,balancescale,sym,1,0.1,3
0.4,0.606,balancescale,sym,1,0.1,3
0.5,0.634,balancescale,sym,1,0.1,3
0.6,0.682,balancescale,sym,1,0.1,3
0.7000000000000001,0.678,balancescale,sym,1,0.1,3
0.8,0.674,balancescale,sym,1,0.1,3
0.9,0.736,balancescale,sym,1,0.1,3
0.1,0.54675,waveform,instance,0,0.1,1
0.2,0.56325,waveform,instance,0,0.1,1
0.30000000000000004,0.581,waveform,instance,0,0.1,1
0.4,0.6125,waveform,instance,0,0.1,1
0.5,0.62975,waveform,instance,0,0.1,1
0.6,0.65675,waveform,instance,0,0.1,1
0.7000000000000001,0.678,waveform,instance,0,0.1,1
0.8,0.6965,waveform,instance,0,0.1,1
0.9,0.71125,waveform,instance,0,0.1,1
0.1,0.547,waveform,instance,0,0.1,2
