noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.24724,cifar10,instance,0,0.01,1
0.2,0.32984,cifar10,instance,0,0.01,1
0.30000000000000004,0.41172,cifar10,instance,0,0.01,1
0.4,0.49572,cifar10,instance,0,0.01,1
0.5,0.57434,cifar10,instance,0,0.01,1
0.6,0.65668,cifar10,instance,0,0.01,1
0.7000000000000001,0.73602,cifar10,instance,0,0.01,1
0.8,0.81914,cifar10,instance,0,0.01,1
0.9,0.90248,cifar10,instance,0,0.01,1
0.1,0.24982,cifar10,instance,0,0.01,2
0.2,0.33252,cifar10,instance,0,0.01,2
0.30000000000000004,0.41486,cifar10,instance,0,0.01,2
0.4,0.49694,cifar10,instance,0,0.01,2
0.5,0.57458,cifar10,instance,0,0.01,2
0.6,0.65866,cifar10,instance,0,0.01,2
0.7000000000000001,0.73786,cifar10,instance,0,0.01,2
0.8,0.82026,cifar10,instance,0,0.01,2
0.9,0.90208,cifar10,instance,0,0.01,2
0.1,0.2507,cifar10,instance,0,0.01,3
0.2,0.33,cifar10,instance,0,0.01,3
0.30000000000000004,0.41284,cifar10,instance,0,0.01,3
0.4,0.49608,cifar10,instance,0,0.01,3
0.5,0.57576,cifar10,instance,0,0.01,3
0.6,0.65726,cifar10,instance,0,0.01,3
0.7000000000000001,0.73908,cifar10,instance,0,0.01,3
0.8,0.81894,cifar10,instance,0,0.01,3
0.9,0.9,cifar10,instance,0,0.01,3
0.1,0.25122,cifar10,instance,0,0.01,4
0.2,0.32952,cifar10,instance,0,0.01,4
0.30000000000000004,0.41278,cifar10,instance,0,0.01,4
0.4,0.49596,cifar10,instance,0,0.01,4
0.5,0.57624,cifar10,instance,0,0.01,4
0.6,0.65696,cifar10,instance,0,0.01,4
0.7000000000000001,0.73596,cifar10,instance,0,0.01,4
0.8,0.81624,cifar10,instance,0,0.01,4
0.9,0.90014,cifar10,instance,0,0.01,4
0.1,0.24884,cifar10,instance,0,0.01,5
0.2,0.32814,cifar10,instance,0,0.01,5
0.30000000000000004,0.40894,cifar10,instance,0,0.01,5
0.4,0.49172,cifar10,instance,0,0.01,5
0.5,0.57396,cifar10,instance,0,0.01,5
0.6,0.65728,cifar10,instance,0,0.01,5
0.7000000000000001,0.73504,cifar10,instance,0,0.01,5
0.8,0.8179,cifar10,instance,0,0.01,5
0.9,0.89998,cifar10,instance,0,0.01,5
