noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.18942,cifar10,sym,0,0.01,1
0.2,0.2769,cifar10,sym,0,0.01,1
0.3,0.36638,cifar10,sym,0,0.01,1
0.4,0.45406,cifar10,sym,0,0.01,1
0.5,0.54144,cifar10,sym,0,0.01,1
0.6,0.6333,cifar10,sym,0,0.01,1
0.7,0.72208,cifar10,sym,0,0.01,1
0.8,0.81334,cifar10,sym,0,0.01,1
0.9,0.90248,cifar10,sym,0,0.01,1
0.1,0.19338,cifar10,sym,0,0.01,2
0.2,0.27998,cifar10,sym,0,0.01,2
0.3,0.3683,cifar10,sym,0,0.01,2
0.4,0.4569,cifar10,sym,0,0.01,2
0.5,0.54708,cifar10,sym,0,0.01,2
0.6,0.63712,cifar10,sym,0,0.01,2
0.7,0.72412,cifar10,sym,0,0.01,2
0.8,0.81362,cifar10,sym,0,0.01,2
0.9,0.90208,cifar10,sym,0,0.01,2
0.1,0.19006,cifar10,sym,0,0.01,3
0.2,0.28078,cifar10,sym,0,0.01,3
0.3,0.36738,cifar10,sym,0,0.01,3
0.4,0.4577,cifar10,sym,0,0.01,3
0.5,0.54422,cifar10,sym,0,0.01,3
0.6,0.63082,cifar10,sym,0,0.01,3
0.7,0.72238,cifar10,sym,0,0.01,3
0.8,0.80942,cifar10,sym,0,0.01,3
0.9,0.9,cifar10,sym,0,0.01,3
0.1,0.19036,cifar10,sym,0,0.01,4
0.2,0.28002,cifar10,sym,0,0.01,4
0.3,0.36566,cifar10,sym,0,0.01,4
0.4,0.45618,cifar10,sym,0,0.01,4
0.5,0.54396,cifar10,sym,0,0.01,4
0.6,0.63084,cifar10,sym,0,0.01,4
0.7,0.71962,cifar10,sym,0,0.01,4
0.8,0.81366,cifar10,sym,0,0.01,4
0.9,0.90014,cifar10,sym,0,0.01,4
0.1,0.1908,cifar10,sym,0,0.01,5
0.2,0.27812,cifar10,sym,0,0.01,5
0.3,0.3658,cifar10,sym,0,0.01,5
0.4,0.4512,cifar10,sym,0,0.01,5
0.5,0.54514,cifar10,sym,0,0.01,5
0.6,0.62962,cifar10,sym,0,0.01,5
