noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.42855,xyguassian,instance,1,0.01,1
0.2,0.44465,xyguassian,instance,1,0.01,1
0.30000000000000004,0.4631,xyguassian,instance,1,0.01,1
0.4,0.47725,xyguassian,instance,1,0.01,1
0.5,0.50025,xyguassian,instance,1,0.01,1
0.6,0.52275,xyguassian,instance,1,0.01,1
0.7000000000000001,0.5369,xyguassian,instance,1,0.01,1
0.8,0.55535,xyguassian,instance,1,0.01,1
0.9,0.57145,xyguassian,instance,1,0.01,1
0.1,0.4482,xyguassian,instance,1,0.2,1
0.2,0.4608,xyguassian,instance,1,0.2,1
0.30000000000000004,0.47305,xyguassian,instance,1,0.2,1
0.4,0.4807,xyguassian,instance,1,0.2,1
0.5,0.50025,xyguassian,instance,1,0.2,1
0.6,0.5193,xyguassian,instance,1,0.2,1
0.7000000000000001,0.52695,xyguassian,instance,1,0.2,1
0.8,0.5392,xyguassian,instance,1,0.2,1
0.9,0.5518,xyguassian,instance,1,0.2,1
0.1,0.4834,xyguassian,instance,1,0.4,1
0.2,0.4869,xyguassian,instance,1,0.4,1
0.30000000000000004,0.48895,xyguassian,instance,1,0.4,1
0.4,0.4918,xyguassian,instance,1,0.4,1
0.5,0.50025,xyguassian,instance,1,0.4,1
0.6,0.5082,xyguassian,instance,1,0.4,1
0.7000000000000001,0.51105,xyguassian,instance,1,0.4,1
0.8,0.5131,xyguassian,instance,1,0.4,1
0.9,0.5166,xyguassian,instance,1,0.4,1
0.1,0.48335,xyguassian,instance,1,0.6,1
0.2,0.48605,xyguassian,instance,1,0.6,1
0.30000000000000004,0.4936,xyguassian,instance,1,0.6,1
0.4,0.49745,xyguassian,instance,1,0.6,1
0.5,0.49975,xyguassian,instance,1,0.6,1
0.6,0.50255,xyguassian,instance,1,0.6,1
0.7000000000000001,0.5064,xyguassian,instance,1,0.6,1
0.8,0.51395,xyguassian,instance,1,0.6,1
0.9,0.51665,xyguassian,instance,1,0.6,1
0.1,0.372,xyguassian,instance,1,0.01,2
0.2,0.40195,xyguassian,instance,1,0.01,2
0.30000000000000004,0.43375,xyguassian,instance,1,0.01,2
0.4,0.46145,xyguassian,instance,1,0.01,2
0.5,0.50225,xyguassian,instance,1,0.01,2
0.6,0.53855,xyguassian,instance,1,0.01,2
0.7000000000000001,0.56625,xyguassian,instance,1,0.01,2
0.8,0.59805,xyguassian,instance,1,0.01,2
0.9,0.628,xyguassian,instance,1,0.01,2
0.1,0.4107,xyguassian,instance,1,0.2,2
0.2,0.43345,xyguassian,instance,1,0.2,2
0.30000000000000004,0.45865,xyguassian,instance,1,0.2,2
0.4,0.47785,xyguassian,instance,1,0.2,2
0.5,0.50225,xyguassian,instance,1,0.2,2
0.6,0.52215,xyguassian,instance,1,0.2,2
0.7000000000000001,0.54135,xyguassian,instance,1,0.2,2
0.8,0.56655,xyguassian,instance,1,0.2,2
0.9,0.5893,xyguassian,instance,1,0.2,2
0.1,0.4696,xyguassian,instance,1,0.4,2
0.2,0.47795,xyguassian,instance,1,0.4,2
0.30000000000000004,0.48805,xyguassian,instance,1,0.4,2
0.4,0.49625,xyguassian,instance,1,0.4,2
0.5,0.50225,xyguassian,instance,1,0.4,2
0.6,0.50375,xyguassian,instance,1,0.4,2
0.7000000000000001,0.51195,xyguassian,instance,1,0.4,2
0.8,0.52205,xyguassian,instance,1,0.4,2
0.9,0.5304,xyguassian,instance,1,0.4,2
0.1,0.47325,xyguassian,instance,1,0.6,2
0.2,0.4784,xyguassian,instance,1,0.6,2
0.30000000000000004,0.4802,xyguassian,instance,1,0.6,2
0.4,0.4868,xyguassian,instance,1,0.6,2
0.5,0.49775,xyguassian,instance,1,0.6,2
0.6,0.5132,xyguassian,instance,1,0.6,2
0.7000000000000001,0.5198,xyguassian,instance,1,0.6,2
0.8,0.5216,xyguassian,instance,1,0.6,2
0.9,0.52675,xyguassian,instance,1,0.6,2
0.1,0.44555,xyguassian,instance,1,0.01,3
0.2,0.46325,xyguassian,instance,1,0.01,3
0.30000000000000004,0.4754,xyguassian,instance,1,0.01,3
0.4,0.4885,xyguassian,instance,1,0.01,3
0.5,0.4932,xyguassian,instance,1,0.01,3
0.6,0.5115,xyguassian,instance,1,0.01,3
0.7000000000000001,0.5246,xyguassian,instance,1,0.01,3
0.8,0.53675,xyguassian,instance,1,0.01,3
0.9,0.55445,xyguassian,instance,1,0.01,3
0.1,0.45925,xyguassian,instance,1,0.2,3
0.2,0.47245,xyguassian,instance,1,0.2,3
0.30000000000000004,0.4833,xyguassian,instance,1,0.2,3
