noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.465034965,breastcancer,sym,0,0.01,1
0.2,0.482517483,breastcancer,sym,0,0.01,1
0.3,0.486013986,breastcancer,sym,0,0.01,1
0.4,0.503496503,breastcancer,sym,0,0.01,1
0.5,0.48951049,breastcancer,sym,0,0.01,1
0.6,0.496503497,breastcancer,sym,0,0.01,1
0.7,0.513986014,breastcancer,sym,0,0.01,1
0.8,0.517482517,breastcancer,sym,0,0.01,1
0.9,0.534965035,breastcancer,sym,0,0.01,1
0.1,0.496503497,breastcancer,sym,0,0.1,1
0.2,0.493006993,breastcancer,sym,0,0.1,1
0.3,0.48951049,breastcancer,sym,0,0.1,1
0.4,0.506993007,breastcancer,sym,0,0.1,1
0.5,0.48951049,breastcancer,sym,0,0.1,1
0.6,0.493006993,breastcancer,sym,0,0.1,1
0.7,0.51048951,breastcancer,sym,0,0.1,1
0.8,0.506993007,breastcancer,sym,0,0.1,1
0.9,0.503496503,breastcancer,sym,0,0.1,1
0.1,0.5,breastcancer,sym,0,0.2,1
0.2,0.51048951,breastcancer,sym,0,0.2,1
0.3,0.506993007,breastcancer,sym,0,0.2,1
0.4,0.503496503,breastcancer,sym,0,0.2,1
0.5,0.48951049,breastcancer,sym,0,0.2,1
0.6,0.496503497,breastcancer,sym,0,0.2,1
0.7,0.493006993,breastcancer,sym,0,0.2,1
0.8,0.48951049,breastcancer,sym,0,0.2,1
0.9,0.5,breastcancer,sym,0,0.2,1
0.1,0.493006993,breastcancer,sym,0,0.3,1
0.2,0.48951049,breastcancer,sym,0,0.3,1
0.3,0.493006993,breastcancer,sym,0,0.3,1
0.4,0.475524476,breastcancer,sym,0,0.3,1
0.5,0.48951049,breastcancer,sym,0,0.3,1
0.6,0.524475524,breastcancer,sym,0,0.3,1
0.7,0.506993007,breastcancer,sym,0,0.3,1
0.8,0.51048951,breastcancer,sym,0,0.3,1
0.9,0.506993007,breastcancer,sym,0,0.3,1
0.1,0.482517483,breastcancer,sym,0,0.01,2
0.2,0.479020979,breastcancer,sym,0,0.01,2
0.3,0.496503497,breastcancer,sym,0,0.01,2
0.4,0.496503497,breastcancer,sym,0,0.01,2
0.5,0.48951049,breastcancer,sym,0,0.01,2
0.6,0.503496503,breastcancer,sym,0,0.01,2
0.7,0.503496503,breastcancer,sym,0,0.01,2
0.8,0.520979021,breastcancer,sym,0,0.01,2
0.9,0.517482517,breastcancer,sym,0,0.01,2
0.1,0.48951049,breastcancer,sym,0,0.1,2
0.2,0.486013986,breastcancer,sym,0,0.1,2
0.3,0.503496503,breastcancer,sym,0,0.1,2
0.4,0.48951049,breastcancer,sym,0,0.1,2
0.5,0.48951049,breastcancer,sym,0,0.1,2
0.6,0.51048951,breastcancer,sym,0,0.1,2
0.7,0.496503497,breastcancer,sym,0,0.1,2
0.8,0.513986014,breastcancer,sym,0,0.1,2
0.9,0.51048951,breastcancer,sym,0,0.1,2
0.1,0.513986014,breastcancer,sym,0,0.2,2
0.2,0.496503497,breastcancer,sym,0,0.2,2
0.3,0.527972028,breastcancer,sym,0,0.2,2
0.4,0.506993007,breastcancer,sym,0,0.2,2
0.5,0.48951049,breastcancer,sym,0,0.2,2
0.6,0.493006993,breastcancer,sym,0,0.2,2
0.7,0.472027972,breastcancer,sym,0,0.2,2
0.8,0.503496503,breastcancer,sym,0,0.2,2
