noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.48502013647390624,secstr,sym,0,0.01,1
0.2,0.48977640746184825,secstr,sym,0,0.01,1
0.30000000000000004,0.49399490911698274,secstr,sym,0,0.01,1
0.4,0.4977473440170174,secstr,sym,0,0.01,1
0.5,0.49879898182339655,secstr,sym,0,0.01,1
0.6,0.5022526559829826,secstr,sym,0,0.01,1
0.7000000000000001,0.5060050908830173,secstr,sym,0,0.01,1
0.8,0.5102235925381517,secstr,sym,0,0.01,1
0.9,0.5149798635260938,secstr,sym,0,0.01,1
0.1,0.4893342415659843,secstr,sym,0,0.2,1
0.2,0.49129411202332723,secstr,sym,0,0.2,1
0.30000000000000004,0.4947716870421492,secstr,sym,0,0.2,1
0.4,0.49909774256384515,secstr,sym,0,0.2,1
0.5,0.49879898182339655,secstr,sym,0,0.2,1
0.6,0.5009022574361548,secstr,sym,0,0.2,1
0.7000000000000001,0.5052283129578509,secstr,sym,0,0.2,1
0.8,0.5087058879766727,secstr,sym,0,0.2,1
0.9,0.5106657584340157,secstr,sym,0,0.2,1
0.1,0.4929313208809857,secstr,sym,0,0.4,1
0.2,0.49372004923577,secstr,sym,0,0.4,1
0.30000000000000004,0.4960742838705051,secstr,sym,0,0.4,1
0.4,0.4987750809641607,secstr,sym,0,0.4,1
0.5,0.49879898182339655,secstr,sym,0,0.4,1
0.6,0.5012249190358393,secstr,sym,0,0.4,1
0.7000000000000001,0.5039257161294949,secstr,sym,0,0.4,1
0.8,0.5062799507642299,secstr,sym,0,0.4,1
0.9,0.5070686791190143,secstr,sym,0,0.4,1
0.1,0.48449431757071665,secstr,sym,0,0.01,2
0.2,0.4882228516115154,secstr,sym,0,0.01,2
0.30000000000000004,0.4931464286141087,secstr,sym,0,0.01,2
0.4,0.49614598644821284,secstr,sym,0,0.01,2
0.5,0.49483143919023886,secstr,sym,0,0.01,2
0.6,0.5038540135517872,secstr,sym,0,0.01,2
0.7000000000000001,0.5068535713858914,secstr,sym,0,0.01,2
0.8,0.5117771483884845,secstr,sym,0,0.01,2
0.9,0.5155056824292833,secstr,sym,0,0.01,2
0.1,0.49130606245294517,secstr,sym,0,0.2,2
0.2,0.49391125610965714,secstr,sym,0,0.2,2
0.30000000000000004,0.49618183773706664,secstr,sym,0,0.2,2
0.4,0.49705421909917663,secstr,sym,0,0.2,2
0.5,0.49483143919023886,secstr,sym,0,0.2,2
0.6,0.5029457809008234,secstr,sym,0,0.2,2
0.7000000000000001,0.5038181622629333,secstr,sym,0,0.2,2
0.8,0.5060887438903429,secstr,sym,0,0.2,2
0.9,0.5086939375470548,secstr,sym,0,0.2,2
0.1,0.49714982253612017,secstr,sym,0,0.4,2
0.2,0.4979624517501404,secstr,sym,0,0.4,2
0.30000000000000004,0.4982970637794429,secstr,sym,0,0.4,2
0.4,0.4980939064759378,secstr,sym,0,0.4,2
0.5,0.49483143919023886,secstr,sym,0,0.4,2
0.6,0.5019060935240622,secstr,sym,0,0.4,2
0.7000000000000001,0.5017029362205572,secstr,sym,0,0.4,2
0.8,0.5020375482498596,secstr,sym,0,0.4,2
0.9,0.5028501774638798,secstr,sym,0,0.4,2
0.1,0.48233128980986867,secstr,sym,0,0.01,3
0.2,0.48363388663822465,secstr,sym,0,0.01,3
0.30000000000000004,0.4897644570322303,secstr,sym,0,0.01,3
0.4,0.49423391770934166,secstr,sym,0,0.01,3
0.5,0.5001971820886961,secstr,sym,0,0.01,3
0.6,0.5057660822906583,secstr,sym,0,0.01,3
0.7000000000000001,0.5102355429677697,secstr,sym,0,0.01,3
0.8,0.5163661133617754,secstr,sym,0,0.01,3
0.9,0.5176687101901314,secstr,sym,0,0.01,3
0.1,0.4893103407067484,secstr,sym,0,0.2,3
0.2,0.48886817481088446,secstr,sym,0,0.2,3
0.30000000000000004,0.49356469365073674,secstr,sym,0,0.2,3
0.4,0.49676740878834597,secstr,sym,0,0.2,3
0.5,0.5001971820886961,secstr,sym,0,0.2,3
0.6,0.5032325912116541,secstr,sym,0,0.2,3
0.7000000000000001,0.5064353063492633,secstr,sym,0,0.2,3
0.8,0.5111318251891156,secstr,sym,0,0.2,3
0.9,0.5106896592932516,secstr,sym,0,0.2,3
0.1,0.49876313053454274,secstr,sym,0,0.4,3
0.2,0.49578747355967445,secstr,sym,0,0.4,3
0.30000000000000004,0.4983568159275326,secstr,sym,0,0.4,3
0.4,0.49945625545238354,secstr,sym,0,0.4,3
0.5,0.5001971820886961,secstr,sym,0,0.4,3
0.6,0.5005437445476165,secstr,sym,0,0.4,3
0.7000000000000001,0.5016431840724674,secstr,sym,0,0.4,3
0.8,0.5042125264403255,secstr,sym,0,0.4,3
0.9,0.5012368694654573,secstr,sym,0,0.4,3
0.1,0.4833112250385401,secstr,sym,0,0.01,4
0.2,0.4873624206790234,secstr,sym,0,0.01,4
