noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.612,waveform,sym,0,0.4,1
0.2,0.607,waveform,sym,0,0.4,1
0.30000000000000004,0.6272,waveform,sym,0,0.4,1
0.4,0.6442,waveform,sym,0,0.4,1
0.5,0.657,waveform,sym,0,0.4,1
0.6,0.6616,waveform,sym,0,0.4,1
0.7000000000000001,0.6806,waveform,sym,0,0.4,1
0.8,0.6812,waveform,sym,0,0.4,1
0.9,0.684,waveform,sym,0,0.4,1
0.1,0.7787850000000001,cloth1m,sym,0,0.4,1
0.2,0.796755,cloth1m,sym,0,0.4,1
0.30000000000000004,0.814885,cloth1m,sym,0,0.4,1
0.4,0.83277,cloth1m,sym,0,0.4,1
0.5,0.8514225,cloth1m,sym,0,0.4,1
0.6,0.86926875,cloth1m,sym,0,0.4,1
0.7000000000000001,0.8873525,cloth1m,sym,0,0.4,1
0.8,0.90517125,cloth1m,sym,0,0.4,1
0.9,0.9235825,cloth1m,sym,0,0.4,1
0.1,0.4929313208809857,secstr,sym,0,0.4,1
0.2,0.49372004923577,secstr,sym,0,0.4,1
0.30000000000000004,0.4960742838705051,secstr,sym,0,0.4,1
0.4,0.4987750809641607,secstr,sym,0,0.4,1
0.5,0.49879898182339655,secstr,sym,0,0.4,1
0.6,0.5012249190358393,secstr,sym,0,0.4,1
0.7000000000000001,0.5039257161294949,secstr,sym,0,0.4,1
0.8,0.5062799507642299,secstr,sym,0,0.4,1
0.9,0.5070686791190143,secstr,sym,0,0.4,1
0.1,0.48502013647390624,secstr,sym,0,0.01,1
0.2,0.48977640746184825,secstr,sym,0,0.01,1
0.30000000000000004,0.49399490911698274,secstr,sym,0,0.01,1
0.4,0.4977473440170174,secstr,sym,0,0.01,1
0.5,0.49879898182339655,secstr,sym,0,0.01,1
0.6,0.5022526559829826,secstr,sym,0,0.01,1
0.7000000000000001,0.5060050908830173,secstr,sym,0,0.01,1
0.8,0.5102235925381517,secstr,sym,0,0.01,1
0.9,0.5149798635260938,secstr,sym,0,0.01,1
0.1,0.44166666666666665,pair0071,sym,0,0.4,1
0.2,0.44166666666666665,pair0071,sym,0,0.4,1
0.30000000000000004,0.44166666666666665,pair0071,sym,0,0.4,1
0.4,0.44166666666666665,pair0071,sym,0,0.4,1
0.5,0.5583333333333333,pair0071,sym,0,0.4,1
0.6,0.5583333333333333,pair0071,sym,0,0.4,1
0.7000000000000001,0.5583333333333333,pair0071,sym,0,0.4,1
0.8,0.5583333333333333,pair0071,sym,0,0.4,1
0.9,0.5583333333333333,pair0071,sym,0,0.4,1
0.1,0.49985,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.15000000000000002,0.499,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.20000000000000004,0.49875,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.25000000000000006,0.5001,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.30000000000000004,0.49385,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.3500000000000001,0.4978,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.40000000000000013,0.49965,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.45000000000000007,0.5029,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.5000000000000001,0.50565,xyguassian,sym,1,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (1.0, 0.5), (0.0, 0.5), (0.0, 0.5), (1.0, 0.5)]"
0.1,0.44425,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.15000000000000002,0.4544,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.20000000000000004,0.4572,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.25000000000000006,0.4585,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.30000000000000004,0.4692,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.3500000000000001,0.4793,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.40000000000000013,0.4859,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
0.45000000000000007,0.4964,yxguassian,sym,0,0.4,1,2,True,"[(0.0, 0.51), (1.0, 0.49), (0.0, 0.52), (1.0, 0.48), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49), (1.0, 0.49), (0.0, 0.51), (0.0, 0.51), (1.0, 0.49), (0.0, 0.51), (1.0, 0.49)]"
