noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.47,xyguassian1000,sym,0,0.01,1
0.2,0.485,xyguassian1000,sym,0,0.01,1
0.3,0.491,xyguassian1000,sym,0,0.01,1
0.4,0.492,xyguassian1000,sym,0,0.01,1
0.5,0.518,xyguassian1000,sym,0,0.01,1
0.6,0.508,xyguassian1000,sym,0,0.01,1
0.7,0.509,xyguassian1000,sym,0,0.01,1
0.8,0.515,xyguassian1000,sym,0,0.01,1
0.9,0.53,xyguassian1000,sym,0,0.01,1
0.1,0.477,xyguassian1000,sym,0,0.1,1
0.2,0.492,xyguassian1000,sym,0,0.1,1
0.3,0.496,xyguassian1000,sym,0,0.1,1
0.4,0.501,xyguassian1000,sym,0,0.1,1
0.5,0.518,xyguassian1000,sym,0,0.1,1
0.6,0.499,xyguassian1000,sym,0,0.1,1
0.7,0.504,xyguassian1000,sym,0,0.1,1
0.8,0.508,xyguassian1000,sym,0,0.1,1
0.9,0.523,xyguassian1000,sym,0,0.1,1
0.1,0.517,xyguassian1000,sym,0,0.2,1
0.2,0.514,xyguassian1000,sym,0,0.2,1
0.3,0.51,xyguassian1000,sym,0,0.2,1
0.4,0.515,xyguassian1000,sym,0,0.2,1
0.5,0.482,xyguassian1000,sym,0,0.2,1
0.6,0.485,xyguassian1000,sym,0,0.2,1
0.7,0.49,xyguassian1000,sym,0,0.2,1
0.8,0.486,xyguassian1000,sym,0,0.2,1
0.9,0.483,xyguassian1000,sym,0,0.2,1
0.1,0.478,xyguassian1000,sym,0,0.3,1
0.2,0.489,xyguassian1000,sym,0,0.3,1
0.3,0.481,xyguassian1000,sym,0,0.3,1
0.4,0.468,xyguassian1000,sym,0,0.3,1
0.5,0.518,xyguassian1000,sym,0,0.3,1
0.6,0.532,xyguassian1000,sym,0,0.3,1
0.7,0.519,xyguassian1000,sym,0,0.3,1
0.8,0.511,xyguassian1000,sym,0,0.3,1
0.9,0.522,xyguassian1000,sym,0,0.3,1
0.1,0.492,xyguassian1000,sym,0,0.01,2
0.2,0.492,xyguassian1000,sym,0,0.01,2
0.3,0.487,xyguassian1000,sym,0,0.01,2
0.4,0.483,xyguassian1000,sym,0,0.01,2
0.5,0.486,xyguassian1000,sym,0,0.01,2
0.6,0.517,xyguassian1000,sym,0,0.01,2
0.7,0.513,xyguassian1000,sym,0,0.01,2
0.8,0.508,xyguassian1000,sym,0,0.01,2
0.9,0.508,xyguassian1000,sym,0,0.01,2
0.1,0.478,xyguassian1000,sym,0,0.1,2
0.2,0.484,xyguassian1000,sym,0,0.1,2
