noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.5490999999999999,0.004738802591372618
instance,0.1,0.2,0.5699,0.0050049975024968555
instance,0.1,0.3,0.59085,0.012461942063739491
instance,0.1,0.4,0.6109,0.005386905419626382
instance,0.1,0.5,0.63095,0.0021020823009577534
instance,0.1,0.6,0.6532,0.009694392709190194
instance,0.1,0.7000000000000001,0.6739,0.005386905419626377
instance,0.1,0.8,0.6996,0.0037856637462933603
instance,0.1,0.9,0.7171000000000001,0.004314220671222115
instance,0.2,0.1,0.5636,0.008682957445479046
instance,0.2,0.2,0.57855,0.00642358933930247
instance,0.2,0.3,0.5965,0.009565563234854484
instance,0.2,0.4,0.61735,0.0049263323071023195
instance,0.2,0.5,0.637,0.007911621199223336
instance,0.2,0.6,0.6551,0.008377051987423674
instance,0.2,0.7000000000000001,0.6768500000000001,0.0071928784224397765
instance,0.2,0.8,0.6969,0.00692955626284972
instance,0.2,0.9,0.7112499999999999,0.012481235916366667
instance,0.3,0.1,0.5723,0.014468068288475848
instance,0.3,0.2,0.5917,0.011920832605149683
instance,0.3,0.3,0.60205,0.009467708276029604
instance,0.3,0.4,0.62235,0.009181503144910392
instance,0.3,0.5,0.6422000000000001,0.006188194405478846
instance,0.3,0.6,0.6546,0.0031652409071032694
instance,0.3,0.7000000000000001,0.6734,0.006168468205316463
instance,0.3,0.8,0.69275,0.006784633372555981
instance,0.3,0.9,0.70375,0.011323371847643296
instance,0.4,0.1,0.5917,0.014987911795844001
instance,0.4,0.2,0.6044499999999999,0.012756615930567112
instance,0.4,0.3,0.616,0.01195956729986498
instance,0.4,0.4,0.62595,0.008659171438422989
instance,0.4,0.5,0.645,0.006405563987659486
instance,0.4,0.6,0.6583,0.006888396039717793
instance,0.4,0.7000000000000001,0.67405,0.006045142678216944
instance,0.4,0.8,0.6881,0.0059282164265485136
instance,0.4,0.9,0.6990999999999999,0.007670153192733523
instance,0.5,0.1,0.6035999999999999,0.01691393656130945
instance,0.5,0.2,0.6127499999999999,0.016328655792807983
instance,0.5,0.3,0.62415,0.015520752236924557
instance,0.5,0.4,0.6326,0.010143655652672728
instance,0.5,0.5,0.6477,0.004871473083164895
instance,0.5,0.6,0.6618999999999999,0.006130354802130144
instance,0.5,0.7000000000000001,0.67565,0.007455283361482607
instance,0.5,0.8,0.686,0.004419417382415906
instance,0.5,0.9,0.6910999999999999,0.011026388801416416
instance,0.6,0.1,0.6048,0.014593877140773774
instance,0.6,0.2,0.6132500000000001,0.008963467520998815
instance,0.6,0.3,0.6268,0.009210048859805219
instance,0.6,0.4,0.63105,0.009252364562640265
instance,0.6,0.5,0.65035,0.011666726190324361
instance,0.6,0.6,0.65595,0.008635681791265823
instance,0.6,0.7000000000000001,0.67465,0.00775926865110364
instance,0.6,0.8,0.6865,0.007856128181235296
instance,0.6,0.9,0.68925,0.01239455525624058
instance,0.7,0.1,0.6064499999999999,0.013016095804810276
instance,0.7,0.2,0.6163000000000001,0.014214209439852792
instance,0.7,0.3,0.62135,0.008943573111458334
instance,0.7,0.4,0.63355,0.009126540965776657
instance,0.7,0.5,0.6441000000000001,0.008663140308225436
instance,0.7,0.6,0.65395,0.014743006816792775
instance,0.7,0.7000000000000001,0.6675,0.005730946693173858
instance,0.7,0.8,0.67975,0.0072435315972252156
instance,0.7,0.9,0.6919500000000001,0.008376678936189458
instance,0.8,0.1,0.5898000000000001,0.019299773314730907
instance,0.8,0.2,0.6079,0.01696098464122882
