noise_type,initial_noise,noise_rate,mean,std
instance,0.1,0.1,0.25665,0.0012349089035228434
instance,0.1,0.2,0.30034,0.0016098913006784127
instance,0.1,0.3,0.34863,0.0032980297148449134
instance,0.1,0.4,0.39926,0.004771975481915223
instance,0.1,0.5,0.5022399999999999,0.004484333841274532
instance,0.1,0.6,0.60074,0.004771975481915187
instance,0.1,0.7000000000000001,0.65137,0.0032980297148449155
instance,0.1,0.8,0.69966,0.0016098913006784062
instance,0.1,0.9,0.7433500000000001,0.0012349089035228785
instance,0.2,0.1,0.29853,0.0024501530564436116
instance,0.2,0.2,0.32824,0.002349042358068496
instance,0.2,0.3,0.36357,0.002210373271644418
instance,0.2,0.4,0.40204000000000006,0.0039934947101504786
instance,0.2,0.5,0.5022399999999999,0.004484333841274532
instance,0.2,0.6,0.5979599999999999,0.003993494710150437
instance,0.2,0.7000000000000001,0.63643,0.002210373271644366
instance,0.2,0.8,0.67176,0.002349042358068508
instance,0.2,0.9,0.70147,0.0024501530564436723
instance,0.3,0.1,0.35349,0.0018318023910891788
instance,0.3,0.2,0.36806,0.001163722475506937
instance,0.3,0.3,0.38859,0.001982864090148409
instance,0.3,0.4,0.41314,0.0038664259982572834
instance,0.3,0.5,0.5022399999999999,0.004484333841274532
instance,0.3,0.6,0.5868599999999999,0.0038664259982573576
instance,0.3,0.7000000000000001,0.61141,0.0019828640901483675
instance,0.3,0.8,0.63194,0.0011637224755069028
instance,0.3,0.9,0.6465099999999999,0.001831802391089158
instance,0.4,0.1,0.41323999999999994,0.0030065345499428425
instance,0.4,0.2,0.41329000000000005,0.0026012977530455736
instance,0.4,0.3,0.41904,0.0032074912314767026
instance,0.4,0.4,0.42887,0.0028376046236218357
instance,0.4,0.5,0.5022399999999999,0.004484333841274532
instance,0.4,0.6,0.5711299999999999,0.0028376046236218144
instance,0.4,0.7000000000000001,0.5809599999999999,0.003207491231476701
instance,0.4,0.8,0.58671,0.0026012977530456096
instance,0.4,0.9,0.58676,0.003006534549942837
instance,0.5,0.1,0.48192,0.022971683656188565
instance,0.5,0.2,0.47365,0.03682979432470399
instance,0.5,0.3,0.46840000000000004,0.04529442570559868
instance,0.5,0.4,0.46487,0.049441159472649925
instance,0.5,0.5,0.50166,0.004789232715164293
instance,0.5,0.6,0.53513,0.049441159472649945
instance,0.5,0.7000000000000001,0.5316,0.04529442570559869
instance,0.5,0.8,0.52635,0.03682979432470399
instance,0.5,0.9,0.51808,0.022971683656188506
instance,0.6,0.1,0.46965,0.0027876961814372885
instance,0.6,0.2,0.49884000000000006,0.0034143813495272836
instance,0.6,0.3,0.52311,0.0023593961091770733
instance,0.6,0.4,0.5424,0.0017077031357937897
instance,0.6,0.5,0.4977600000000001,0.004484333841274542
instance,0.6,0.6,0.45759999999999995,0.0017077031357938123
instance,0.6,0.7000000000000001,0.47689000000000004,0.002359396109177111
instance,0.6,0.8,0.50116,0.003414381349527283
instance,0.6,0.9,0.53035,0.00278769618143727
instance,0.7,0.1,0.40957999999999994,0.0035557348045094843
instance,0.7,0.2,0.45471000000000006,0.0035161058004559423
instance,0.7,0.3,0.49416000000000004,0.003263127334322107
instance,0.7,0.4,0.52817,0.002648254141882909
instance,0.7,0.5,0.4977600000000001,0.004484333841274542
instance,0.7,0.6,0.47183,0.0026482541418829226
instance,0.7,0.7000000000000001,0.50584,0.0032631273343221275
instance,0.7,0.8,0.54529,0.003516105800455967
instance,0.7,0.9,0.59042,0.0035557348045094674
instance,0.8,0.1,0.35017,0.0033833415435039946
instance,0.8,0.2,0.40946,0.004889708580273475
instance,0.8,0.3,0.46365,0.004367636660712528
instance,0.8,0.4,0.51216,0.003660840067525484
instance,0.8,0.5,0.4977600000000001,0.004484333841274542
instance,0.8,0.6,0.48784,0.003660840067525471
instance,0.8,0.7000000000000001,0.53635,0.004367636660712504
instance,0.8,0.8,0.5905400000000001,0.00488970858027347
instance,0.8,0.9,0.64983,0.0033833415435039643
