error, dataset=pair0107, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=breastcancer, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=pair0047, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=pair0047, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=pair0047, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=pair0047, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=pair0047, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=pair0047, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=pair0047, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=pair0047, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=pair0047, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=pair0047, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=usps, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=cifar10, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=cifar10, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=cifar10, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=cifar10, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=cifar10, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=cifar10n_worst, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10n_worst, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10n_worst, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10n_worst, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10n_worst, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=cifar10n_worst, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=cifar10n_worst, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=cifar10n_worst, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=cifar10n_worst, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=cifar10n_worst, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=cifar10n_aggre, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10n_aggre, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10n_aggre, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10n_aggre, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10n_aggre, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=cifar10n_aggre, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=cifar10n_aggre, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=cifar10n_aggre, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=cifar10n_aggre, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=cifar10n_aggre, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=cifar10n_random1, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10n_random1, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10n_random1, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10n_random1, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10n_random1, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=cifar10n_random1, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=cifar10n_random1, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=cifar10n_random1, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=cifar10n_random1, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=cifar10n_random1, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=cifar10n_random2, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10n_random2, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10n_random2, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10n_random2, noise_type=instance, filp_rate=0.0, seed=1
error, dataset=cifar10n_random2, noise_type=instance, filp_rate=0.1, seed=1
error, dataset=cifar10n_random2, noise_type=instance, filp_rate=0.2, seed=1
error, dataset=cifar10n_random2, noise_type=instance, filp_rate=0.3, seed=1
error, dataset=cifar10n_random2, noise_type=pair, filp_rate=0.1, seed=1
error, dataset=cifar10n_random2, noise_type=pair, filp_rate=0.2, seed=1
error, dataset=cifar10n_random2, noise_type=pair, filp_rate=0.3, seed=1
error, dataset=cifar10n_random3, noise_type=sym, filp_rate=0.1, seed=1
error, dataset=cifar10n_random3, noise_type=sym, filp_rate=0.2, seed=1
error, dataset=cifar10n_random3, noise_type=sym, filp_rate=0.3, seed=1
error, dataset=cifar10n_random3, noise_type=instance, filp_rate=0.0, seed=1
