dataset=cifar10, noise_type=sym, filp_rate=0.1, seed=1, time=1421
dataset=cifar10, noise_type=sym, filp_rate=0.2, seed=1, time=177
dataset=cifar10, noise_type=sym, filp_rate=0.3, seed=1, time=174
dataset=cifar10, noise_type=instance, filp_rate=0.0, seed=1, time=181
dataset=cifar10, noise_type=instance, filp_rate=0.1, seed=1, time=180
dataset=cifar10, noise_type=instance, filp_rate=0.2, seed=1, time=184
dataset=cifar10, noise_type=instance, filp_rate=0.3, seed=1, time=186
dataset=cifar10, noise_type=pair, filp_rate=0.1, seed=1, time=176
dataset=cifar10, noise_type=pair, filp_rate=0.2, seed=1, time=175
dataset=cifar10, noise_type=pair, filp_rate=0.3, seed=1, time=177
dataset=xyguassian, noise_type=sym, filp_rate=0.1, seed=1, time=30
dataset=xyguassian, noise_type=sym, filp_rate=0.2, seed=1, time=30
dataset=xyguassian, noise_type=sym, filp_rate=0.3, seed=1, time=31
dataset=xyguassian, noise_type=instance, filp_rate=0.0, seed=1, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.1, seed=1, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.2, seed=1, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.3, seed=1, time=34
dataset=xyguassian, noise_type=pair, filp_rate=0.1, seed=1, time=31
dataset=xyguassian, noise_type=pair, filp_rate=0.2, seed=1, time=31
dataset=xyguassian, noise_type=pair, filp_rate=0.3, seed=1, time=32
dataset=yxguassian, noise_type=sym, filp_rate=0.1, seed=1, time=31
dataset=yxguassian, noise_type=sym, filp_rate=0.2, seed=1, time=30
dataset=yxguassian, noise_type=sym, filp_rate=0.3, seed=1, time=30
dataset=yxguassian, noise_type=instance, filp_rate=0.0, seed=1, time=34
dataset=yxguassian, noise_type=instance, filp_rate=0.1, seed=1, time=34
dataset=yxguassian, noise_type=instance, filp_rate=0.2, seed=1, time=34
dataset=yxguassian, noise_type=instance, filp_rate=0.3, seed=1, time=34
dataset=yxguassian, noise_type=pair, filp_rate=0.1, seed=1, time=29
dataset=yxguassian, noise_type=pair, filp_rate=0.2, seed=1, time=32
dataset=yxguassian, noise_type=pair, filp_rate=0.3, seed=1, time=30
